,football.co.uk,id,odds
4569,Darmstadt,darmstadt,darmstadt
4583,Ingolstadt,ingolstadt,ingolstadt
4887,RB Leipzig,rb_leipzig,rb_leipzig
5486,Fortuna Dusseldorf,fortuna_dusseldorf,fortuna_dusseldorf
5499,Nurnberg,nurnberg,nurnberg
5799,Union Berlin,union_berlin,union_berlin
6025,Greuther Furth,greuther_furth,greuther_furth
6027,Sandhausen,sandhausen,sandhausen
6028,St Pauli,st_pauli,st_pauli
6030,Heidenheim,heidenheim,heidenheim
6031,Kaiserslautern,kaiserslautern,kaiserslautern
6033,Bochum,bochum,bochum
6034,Braunschweig,braunschweig,braunschweig
6035,Erzgebirge Aue,erzgebirge_aue,erzgebirge_aue
6036,Munich 1860,munich_1860,munich_1860
6037,Karlsruhe,karlsruhe,karlsruhe
6040,Frankfurt FSV,frankfurt_fsv,frankfurt_fsv
6043,Aalen,aalen,aalen
6277,Duisburg,duisburg,duisburg
6286,Bielefeld,bielefeld,bielefeld
6585,Dresden,dresden,dresden
6612,Wurzburger Kickers,wurzburger_kickers,wurzburger_kickers
6894,Holstein Kiel,holstein_kiel,holstein_kiel
6904,Regensburg,regensburg,regensburg
7201,Magdeburg,magdeburg,magdeburg
7504,Osnabruck,osnabruck,osnabruck
7508,Wehen,wehen,wehen
7740,Sociedad,sociedad,real_sociedad
